year,month,stocks_total,stocks_bottled,stocks_bulk,inventory_coverage_months,withdrawal_production_ratio
2012,1,915148913.0,1060572326.0,769725500.0,21.56,0.55
2012,2,878003780.0,1021667851.0,734339709.0,19.17,1.15
2012,3,856487871.0,1010533085.0,702442657.0,18.34,1.28
2012,4,793715982.0,948734835.0,638697129.0,16.77,1.82
2012,5,737065961.0,890639333.0,583492589.0,14.84,2.11
2012,6,703164410.0,865449845.0,540878975.0,13.64,2.62
2012,7,661327646.0,828333930.0,494321362.0,12.89,2.78
2012,8,639921295.0,813277780.0,466564810.0,12.7,0.72
2012,9,686172414.0,859871080.0,512473748.0,13.8,0.25
2012,10,818123849.0,982877181.0,653370517.0,15.09,0.13
2012,11,923684757.0,1074422975.0,772946539.0,16.29,0.17
2012,12,1031137819.0,1178644605.0,883631032.0,17.6,0.19
2013,1,999531500.0,1142503162.0,856559838.0,17.78,0.46
2013,2,967550683.0,1109453486.0,825647880.0,18.7,0.82
2013,3,965368954.0,1129615819.0,801122089.0,18.85,1.41
2013,4,890537390.0,1040460574.0,740614206.0,17.24,1.27
2013,5,844961294.0,998765480.0,691157108.0,15.68,1.91
2013,6,808893643.0,970782990.0,647004297.0,15.19,2.46
2013,7,744963780.0,912849629.0,577077931.0,14.11,2.39
2013,8,733173337.0,911473421.0,554873253.0,14.22,0.45
2013,9,864014727.0,1050994098.0,677035356.0,16.72,0.14
2013,10,973182698.0,1149300487.0,797064909.0,17.43,0.15
2013,11,1033457778.0,1197170179.0,869745377.0,17.8,0.22
2013,12,1130289191.0,1290440377.0,970138005.0,18.74,0.22
2014,1,1090503057.0,1245679644.0,935326471.0,19.49,0.43
2014,2,1060618271.0,1216032126.0,905204416.0,19.56,0.74
2014,3,1046561911.0,1208590387.0,884533435.0,19.76,1.09
2014,4,979726669.0,1144883387.0,814569951.0,17.88,1.34
2014,5,931520446.0,1102121746.0,760919146.0,16.49,1.69
2014,6,895611789.0,1073768272.0,717455306.0,15.74,2.09
2014,7,829380036.0,1017635946.0,641124127.0,14.81,1.93
2014,8,839391665.0,1035459991.0,643323338.0,15.45,0.34
2014,9,952393393.0,1155681662.0,749105124.0,17.34,0.18
2014,10,1046271131.0,1234298586.0,858243676.0,17.83,0.16
2014,11,1083180316.0,1263016697.0,903343935.0,18.08,0.28
2014,12,1188897645.0,1363667836.0,1014127454.0,18.83,0.23
2015,1,1143679865.0,1317028577.0,970331153.0,19.57,0.51
2015,2,1109902305.0,1284386244.0,935418366.0,19.8,0.97
2015,3,1087721548.0,1269230235.0,906212861.0,20.56,1.37
2015,4,1017563023.0,1199035998.0,836090048.0,18.42,1.46
2015,5,973321089.0,1158887144.0,787755034.0,17.09,1.63
2015,6,939414719.0,1136744196.0,742085242.0,16.26,2.25
2015,7,865307227.0,1066549309.0,664065144.0,15.08,1.88
2015,8,879799841.0,1093383012.0,666216670.0,15.48,0.3
2015,9,1013624516.0,1232440696.0,794808336.0,17.55,0.17
2015,10,1080712115.0,1286005567.0,875418663.0,17.98,0.2
2015,11,1097163673.0,1290519113.0,903808233.0,17.26,0.37
2015,12,1169654660.0,1359764655.0,979544665.0,17.88,0.29
2016,1,1117168915.0,1298928687.0,935409143.0,18.39,0.47
2016,2,1079538145.0,1260264250.0,898812039.0,18.62,0.84
2016,3,1072472769.0,1262898022.0,882047516.0,19.49,1.0
2016,4,995545487.0,1184465336.0,806625638.0,17.37,2.15
2016,5,946347713.0,1141069712.0,751625714.0,16.41,2.23
2016,6,912694287.0,1117479211.0,707909363.0,15.74,2.94
2016,7,841668037.0,1044075348.0,639260726.0,14.82,2.46
2016,8,855612192.0,1068915954.0,642308429.0,14.86,0.32
2016,9,943390959.0,1159988495.0,726793423.0,16.26,0.21
2016,10,1011670528.0,1216005231.0,807335825.0,16.5,0.19
2016,11,1060647201.0,1253961030.0,867333372.0,16.69,0.26
2016,12,1169959171.0,1359237056.0,980681287.0,17.71,0.23
2017,1,1130256932.0,1312275340.0,948238524.0,18.2,0.37
2017,2,1111404231.0,1296205530.0,926602931.0,19.27,0.57
2017,3,1099206131.0,1296568198.0,901844063.0,20.2,1.14
2017,4,1027284824.0,1223821406.0,830748242.0,18.7,2.3
2017,5,975847414.0,1177564034.0,774130794.0,16.95,2.12
2017,6,945011444.0,1159889599.0,730133289.0,16.41,2.25
2017,7,872630447.0,1087164988.0,658095906.0,15.15,2.29
2017,8,790490678.0,1014428400.0,566552956.0,13.71,0.72
2017,9,938588564.0,1167655633.0,709521495.0,16.35,0.22
2017,10,1021064727.0,1236383549.0,805745905.0,16.5,0.18
2017,11,1084622614.0,1288805577.0,880439652.0,17.03,0.24
2017,12,1233896244.0,1434555907.0,1033236581.0,18.45,0.18
2018,1,1162982249.0,1354049632.0,971914867.0,18.56,0.53
2018,2,1147978042.0,1338087564.0,957868520.0,19.66,0.63
2018,3,1135641790.0,1329036168.0,942247412.0,19.88,1.19
2018,4,1058806118.0,1246345412.0,871266824.0,17.85,1.78
2018,5,999762042.0,1187772950.0,811751134.0,15.84,2.07
2018,6,970085744.0,1173347419.0,766824069.0,15.78,2.25
2018,7,892556830.0,1094823208.0,690290452.0,14.9,3.23
2018,8,852686856.0,1055404169.0,649969543.0,14.04,0.83
2018,9,939665221.0,1150486477.0,728843965.0,15.72,0.22
2018,10,1009167845.0,1206093913.0,812241776.0,15.77,0.19
2018,11,1075987973.0,1264205667.0,887770279.0,17.07,0.23
2018,12,1247262197.0,1435304330.0,1059220063.0,18.43,0.17
2019,1,1202230572.0,1373474023.0,1030987121.0,18.29,0.38
2019,2,1189188579.0,1360685050.0,1017692108.0,19.17,0.56
2019,3,1186563532.0,1367549105.0,1005577958.0,20.22,0.85
2019,4,1112530406.0,1295722967.0,929337845.0,19.55,1.41
2019,5,1058352812.0,1244028503.0,872677121.0,17.43,1.73
2019,6,1036900424.0,1236505374.0,837295474.0,17.28,2.05
2019,7,961211164.0,1163931160.0,758491168.0,16.22,2.23
2019,8,913088913.0,1120500789.0,705677037.0,15.49,0.92
2019,9,999294194.0,1212710962.0,785877426.0,16.9,0.23
2019,10,1053294085.0,1257569684.0,849018486.0,17.02,0.2
2019,11,1113088654.0,1311427091.0,914750217.0,18.29,0.24
2019,12,1256340780.0,1461253423.0,1051428137.0,19.65,0.2
2020,1,1205346572.0,1389157736.0,1021535409.0,19.29,0.37
2020,2,1174193636.0,1354626251.0,993761021.0,19.23,0.84
