year,month,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,withdrawals_taxable_total,withdrawals_taxable_bottled,withdrawals_taxable_bulk,withdrawals_export_total,withdrawals_export_bottled,withdrawals_export_bulk,stocks_total,stocks_bottled,stocks_bulk,active_wineries
2012,1,77661672.0,30217062.0,6186710.0,6186710.0,1913548.0,502604.0,42444611.0,,,9288892.0,4563675.0,3991061.0,915148913.0,1060572326.0,769725500.0,1850.0
2012,2,42792481.0,14416789.0,5213150.0,5213150.0,1508234.0,250061.0,49148616.0,47010140.0,2138477.0,11452981.0,4309310.0,5407359.0,878003780.0,1021667851.0,734339709.0,1812.0
2012,3,37811962.0,13560689.0,2935429.0,2935429.0,1996013.0,,48509975.0,46668435.0,1841540.0,11201137.0,4691091.0,5158859.0,856487871.0,1010533085.0,702442657.0,2822.0
2012,4,24416626.0,8045493.0,1723746.0,1723746.0,1947626.0,480310.0,44371692.0,42632274.0,1739419.0,9992014.0,4725658.0,4487159.0,793715982.0,948734835.0,638697129.0,1753.0
2012,5,26533198.0,12556228.0,-1612446.0,-1612446.0,2057811.0,257405.0,56113512.0,55055894.0,1057618.0,9940033.0,4754987.0,4284607.0,737065961.0,890639333.0,583492589.0,1742.0
2012,6,20684859.0,6362334.0,,,3025950.0,473398.0,54146805.0,51757301.0,2389504.0,9493685.0,4817397.0,3853099.0,703164410.0,865449845.0,540878975.0,2805.0
2012,7,15712239.0,4385072.0,,,2369779.0,409503.0,43617056.0,42214008.0,1403049.0,9315527.0,4695984.0,3951588.0,661327646.0,828333930.0,494321362.0,1795.0
2012,8,74574853.0,30106956.0,4237854.0,4237854.0,2672051.0,256932.0,53414516.0,52313955.0,1100561.0,10171318.0,4980996.0,4320767.0,639921295.0,813277780.0,466564810.0,1775.0
2012,9,209751768.0,91417475.0,11188318.0,11188318.0,2003609.0,,52151644.0,49869187.0,2282458.0,8954284.0,5010374.0,2712458.0,686172414.0,859871080.0,512473748.0,2876.0
2012,10,431836487.0,184763493.0,28402190.0,28402190.0,2250868.0,497670.0,57124064.0,55140869.0,1983195.0,11946217.0,5700045.0,4272109.0,818123849.0,982877181.0,653370517.0,1782.0
2012,11,350386335.0,147438687.0,25910774.0,25910774.0,1468851.0,369625.0,60816007.0,56616034.0,4199973.0,8579408.0,4765311.0,2734107.0,923684757.0,1074422975.0,772946539.0,1769.0
2012,12,302482733.0,105552395.0,43336540.0,43336540.0,1405045.0,907262.0,57808910.0,,,8505742.0,4133296.0,2947522.0,1031137819.0,1178644605.0,883631032.0,6236.0
2013,1,107996822.0,36100409.0,15682244.0,15682244.0,1878519.0,333617.0,49989308.0,46059761.0,3929546.0,10320736.0,5237290.0,3922936.0,999531500.0,1142503162.0,856559838.0,1799.0
