year,month,production_total,production_low_alc,production_medium_alc,production_high_alc,production_sparkling,production_hard_cider,yoy_production_change_pct
2012,1,77661672.0,30217062.0,6186710.0,6186710.0,1913548.0,502604.0,
2012,2,42792481.0,14416789.0,5213150.0,5213150.0,1508234.0,250061.0,
2012,3,37811962.0,13560689.0,2935429.0,2935429.0,1996013.0,,
2012,4,24416626.0,8045493.0,1723746.0,1723746.0,1947626.0,480310.0,
2012,5,26533198.0,12556228.0,-1612446.0,-1612446.0,2057811.0,257405.0,
2012,6,20684859.0,6362334.0,,,3025950.0,473398.0,
2012,7,15712239.0,4385072.0,,,2369779.0,409503.0,
2012,8,74574853.0,30106956.0,4237854.0,4237854.0,2672051.0,256932.0,
2012,9,209751768.0,91417475.0,11188318.0,11188318.0,2003609.0,,
2012,10,431836487.0,184763493.0,28402190.0,28402190.0,2250868.0,497670.0,
2012,11,350386335.0,147438687.0,25910774.0,25910774.0,1468851.0,369625.0,
2012,12,302482733.0,105552395.0,43336540.0,43336540.0,1405045.0,907262.0,
2013,1,107996822.0,36100409.0,15682244.0,15682244.0,1878519.0,333617.0,39.06
2013,2,57680538.0,18918263.0,8143971.0,8143971.0,1339806.0,435332.0,34.79
2013,3,40004948.0,8704449.0,8226189.0,8226189.0,2330027.0,717012.0,5.8
2013,4,40473382.0,13067311.0,3336960.0,3336960.0,2503452.0,1326799.0,65.76
2013,5,28384985.0,10447244.0,,,,922800.0,6.98
2013,6,22060543.0,6588831.0,,,2947259.0,998714.0,6.65
2013,7,20886990.0,8654729.0,-1112681.0,-1112681.0,2472719.0,418802.0,32.93
2013,8,110772793.0,49206819.0,2420270.0,2420270.0,3047887.0,702343.0,48.54
2013,9,383794926.0,173959460.0,15071513.0,15071513.0,2269192.0,518044.0,82.98
2013,10,404173824.0,174423124.0,23958785.0,23958785.0,3321822.0,380644.0,-6.41
2013,11,258451832.0,101112143.0,26085334.0,26085334.0,1622349.0,398469.0,-26.24
2013,12,282854429.0,86565844.0,52952548.0,52952548.0,,1343659.0,-6.49
2014,1,114455670.0,35126609.0,18603980.0,18603980.0,2173804.0,1317953.0,5.98
2014,2,69890562.0,21828043.0,9091734.0,9091734.0,1527591.0,2496158.0,21.17
2014,3,53176636.0,16819122.0,6744736.0,6744736.0,,2021651.0,32.93
2014,4,40842983.0,10368512.0,5304278.0,5304278.0,3394049.0,1343721.0,0.91
2014,5,33781879.0,11427021.0,1594709.0,1594709.0,2442124.0,1421022.0,19.01
2014,6,28244133.0,11944139.0,-2326691.0,-2326691.0,3137457.0,1361501.0,28.03
2014,7,26978839.0,11414186.0,-1932642.0,-1932642.0,2980652.0,1017731.0,29.17
