year,month,withdrawals_taxable_total,withdrawals_taxable_bottled,withdrawals_taxable_bulk,withdrawals_export_total,yoy_withdrawal_change_pct,export_share_pct,bulk_share_pct
2012,1,42444611.0,,,9288892.0,,17.96,
2012,2,49148616.0,47010140.0,2138477.0,11452981.0,,18.9,4.35
2012,3,48509975.0,46668435.0,1841540.0,11201137.0,,18.76,3.8
2012,4,44371692.0,42632274.0,1739419.0,9992014.0,,18.38,3.92
2012,5,56113512.0,55055894.0,1057618.0,9940033.0,,15.05,1.88
2012,6,54146805.0,51757301.0,2389504.0,9493685.0,,14.92,4.41
2012,7,43617056.0,42214008.0,1403049.0,9315527.0,,17.6,3.22
2012,8,53414516.0,52313955.0,1100561.0,10171318.0,,16.0,2.06
2012,9,52151644.0,49869187.0,2282458.0,8954284.0,,14.65,4.38
2012,10,57124064.0,55140869.0,1983195.0,11946217.0,,17.3,3.47
2012,11,60816007.0,56616034.0,4199973.0,8579408.0,,12.36,6.91
2012,12,57808910.0,,,8505742.0,,12.83,
2013,1,49989308.0,46059761.0,3929546.0,10320736.0,17.78,17.11,7.86
2013,2,47463636.0,44860637.0,2602999.0,9675903.0,-3.43,16.93,5.48
2013,3,56209207.0,52482106.0,3727101.0,11931155.0,15.87,17.51,6.63
2013,4,51279841.0,48849315.0,2430526.0,10963954.0,15.57,17.61,4.74
2013,5,54126511.0,51944745.0,2181767.0,10048498.0,-3.54,15.66,4.03
2013,6,54328555.0,51922339.0,2406216.0,10596003.0,0.34,16.32,4.43
2013,7,49952254.0,45491196.0,4461059.0,10151969.0,14.52,16.89,8.93
2013,8,50381145.0,47888476.0,2492669.0,10291196.0,-5.68,16.96,4.95
2013,9,54730382.0,51398690.0,3331691.0,10975938.0,4.94,16.7,6.09
2013,10,62350266.0,58304862.0,4045404.0,12093693.0,9.15,16.25,6.49
2013,11,57096614.0,54819743.0,2276872.0,9617775.0,-6.12,14.42,3.99
2013,12,61517117.0,59745498.0,1771619.0,9126823.0,6.41,12.92,2.88
2014,1,49282663.0,46540948.0,2741715.0,10195216.0,-1.41,17.14,5.56
2014,2,51868771.0,48718115.0,3150656.0,10565655.0,9.28,16.92,6.07
2014,3,57728914.0,54393146.0,3335768.0,10642445.0,2.7,15.57,5.78
2014,4,54782404.0,50446696.0,4335707.0,12568006.0,6.83,18.66,7.91
2014,5,56976236.0,53142362.0,3833873.0,11687861.0,5.26,17.02,6.73
2014,6,58898532.0,55128451.0,3770081.0,12697023.0,8.41,17.73,6.4
2014,7,52142529.0,48658042.0,3484487.0,8003962.0,4.38,13.31,6.68
2014,8,51934660.0,48442177.0,3492483.0,11366884.0,3.08,17.96,6.72
2014,9,60704477.0,58995414.0,1709063.0,10910742.0,10.92,15.24,2.82
2014,10,63418257.0,60442037.0,2976219.0,12021004.0,1.71,15.93,4.69
2014,11,55614457.0,53672409.0,1942048.0,7449718.0,-2.6,11.81,3.49
2014,12,70392703.0,67248226.0,3144477.0,8772721.0,14.43,11.08,4.47
2015,1,49297675.0,46804699.0,2492975.0,6197175.0,0.03,11.17,5.06
2015,2,48481294.0,46315676.0,2165617.0,10162594.0,-6.53,17.33,4.47
2015,3,60942507.0,57883702.0,3058805.0,12138686.0,5.57,16.61,5.02
2015,4,56302467.0,53731900.0,2570567.0,13243504.0,2.77,19.04,4.57
2015,5,53626497.0,51648268.0,1978229.0,12324732.0,-5.88,18.69,3.69
2015,6,63372733.0,60882630.0,2490103.0,11559009.0,7.6,15.43,3.93
2015,7,55121663.0,52318923.0,2802740.0,10404131.0,5.71,15.88,5.08
2015,8,51967305.0,50470088.0,1497217.0,9268110.0,0.06,15.14,2.88
2015,9,66161121.0,63248696.0,2912425.0,14012537.0,8.99,17.48,4.4
2015,10,62186151.0,59068660.0,3117491.0,10754840.0,-1.94,14.74,5.01
2015,11,62340758.0,60458510.0,1882249.0,7843329.0,12.09,11.18,3.02
2015,12,71684507.0,68171130.0,3513378.0,9582267.0,1.84,11.79,4.9
2016,1,48267129.0,46402873.0,1864257.0,9779534.0,-2.09,16.85,3.86
2016,2,54022671.0,51339018.0,2683653.0,8643749.0,11.43,13.79,4.97
2016,3,62771171.0,60668320.0,2102851.0,11061034.0,3.0,14.98,3.35
2016,4,55106678.0,52201125.0,2905553.0,11364178.0,-2.12,17.1,5.27
2016,5,55109398.0,52544094.0,2565304.0,9218460.0,2.77,14.33,4.65
2016,6,63792892.0,62273986.0,1518907.0,10567835.0,0.66,14.21,2.38
2016,7,51487865.0,47588506.0,3899359.0,8975346.0,-6.59,14.84,7.57
2016,8,57494375.0,56186095.0,1308280.0,11413105.0,10.64,16.56,2.28
2016,9,65046497.0,63104949.0,1941548.0,11230857.0,-1.68,14.72,2.98
2016,10,61410095.0,59576702.0,1833394.0,10400211.0,-1.25,14.48,2.99
2016,11,64212216.0,62574264.0,1637952.0,8597277.0,3.0,11.81,2.55
2016,12,72615474.0,69615724.0,2999750.0,10265644.0,1.3,12.39,4.13
2017,1,49452156.0,48404820.0,1047336.0,8725199.0,2.46,15.0,2.12
2017,2,50951313.0,49035595.0,1915718.0,8641943.0,-5.69,14.5,3.76
2017,3,62865691.0,60866286.0,1999405.0,10794811.0,0.15,14.65,3.18
2017,4,50951399.0,50056238.0,895161.0,9752412.0,-7.54,16.07,1.76
2017,5,58925006.0,57947389.0,977616.0,10687232.0,6.92,15.35,1.66
2017,6,62853519.0,62017763.0,835756.0,10474666.0,-1.47,14.28,1.33
2017,7,51056617.0,50077220.0,979397.0,8550869.0,-0.84,14.35,1.92
2017,8,59067209.0,58383121.0,684088.0,11973381.0,2.74,16.85,1.16
2017,9,62119510.0,61232282.0,887228.0,12251143.0,-4.5,16.47,1.43
2017,10,64459833.0,63306081.0,1153752.0,8292099.0,4.97,11.4,1.79
2017,11,64477331.0,63155408.0,1321924.0,7806987.0,0.41,10.8,2.05
2017,12,71698455.0,70538804.0,1159650.0,11358934.0,-1.26,13.68,1.62
2018,1,51760054.0,50325281.0,1434773.0,9029641.0,4.67,14.85,2.77
2018,2,51730203.0,51217495.0,512708.0,9409442.0,1.53,15.39,0.99
2018,3,67881154.0,66829463.0,1051690.0,9871198.0,7.98,12.7,1.55
2018,4,58351466.0,57590376.0,761090.0,9347557.0,14.52,13.81,1.3
2018,5,63095593.0,61704640.0,1390953.0,10713010.0,7.08,14.51,2.2
2018,6,63021516.0,62255689.0,765827.0,10657031.0,0.27,14.46,1.22
2018,7,53554325.0,52564098.0,990228.0,9260767.0,4.89,14.74,1.85
2018,8,65657343.0,64337741.0,1319602.0,7864177.0,11.16,10.7,2.01
2018,9,60100257.0,58647350.0,1452906.0,8978038.0,-3.25,13.0,2.42
2018,10,66225865.0,65295069.0,930797.0,9616432.0,2.74,12.68,1.41
2018,11,62722968.0,61784711.0,938257.0,9270743.0,-2.72,12.88,1.5
2018,12,74066620.0,72439895.0,1626725.0,11401272.0,3.3,13.34,2.2
2019,1,60426353.0,59500981.0,925372.0,10826483.0,16.74,15.19,1.53
2019,2,51568405.0,50608154.0,960252.0,9292650.0,-0.31,15.27,1.86
2019,3,64043287.0,62992619.0,1050668.0,10909338.0,-5.65,14.55,1.64
2019,4,55138508.0,54091546.0,1046962.0,9732184.0,-5.51,15.0,1.9
2019,5,63025953.0,61345744.0,1680209.0,9229468.0,-0.11,12.77,2.67
2019,6,61833649.0,60557558.0,1276091.0,9149315.0,-1.88,12.89,2.06
2019,7,52964077.0,51648883.0,1315194.0,8810214.0,-1.1,14.26,2.48
2019,8,62040402.0,60594701.0,1445701.0,11193887.0,-5.51,15.29,2.33
2019,9,62416045.0,61093284.0,1322761.0,9794470.0,3.85,13.56,2.12
2019,10,61158534.0,59964472.0,1194062.0,10359041.0,-7.65,14.48,1.95
2019,11,59024123.0,58188082.0,836041.0,8802385.0,-5.9,12.98,1.42
2019,12,71600153.0,69854594.0,1745559.0,9134718.0,-3.33,11.31,2.44
2020,1,56818272.0,54198090.0,2620182.0,9665350.0,-5.97,14.54,4.61
2020,2,54790940.0,53137174.0,1653767.0,9245651.0,6.25,14.44,3.02
2020,3,64377547.0,62158542.0,2219005.0,11123138.0,0.52,14.73,3.45
2020,4,56170885.0,54678167.0,1492718.0,11410354.0,1.87,16.88,2.66
2020,5,57754842.0,,,10040478.0,-8.36,14.81,
2020,6,70293165.0,66637677.0,3655488.0,11793341.0,13.68,14.37,5.2
2020,7,58873205.0,56821450.0,2051754.0,12952761.0,11.16,18.03,3.49
2020,8,58852926.0,57926477.0,926449.0,13859832.0,-5.14,19.06,1.57
2020,9,67866351.0,67406427.0,459925.0,13645810.0,8.73,16.74,0.68
2020,10,64598177.0,64221229.0,376948.0,12576766.0,5.62,16.3,0.58
2020,11,59120943.0,58945592.0,175351.0,10237004.0,0.16,14.76,0.3
2020,12,73396293.0,,,11404102.0,2.51,13.45,
2021,1,50218021.0,49909925.0,308096.0,9101258.0,-11.62,15.34,0.61
2021,2,51779129.0,51585178.0,193951.0,9175995.0,-5.5,15.05,0.37
2021,3,70349947.0,70148024.0,201923.0,11975206.0,9.28,14.55,0.29
2021,4,58054085.0,57825299.0,228785.0,11319345.0,3.35,16.32,0.39
2021,5,57614449.0,57267514.0,346936.0,10809504.0,-0.24,15.8,0.6
2021,6,67990847.0,67384710.0,606136.0,13119067.0,-3.28,16.17,0.89
2021,7,55371347.0,54873531.0,497816.0,12007862.0,-5.95,17.82,0.9
2021,8,57308390.0,57057903.0,250488.0,12378939.0,-2.62,17.76,0.44
2021,9,62704797.0,61849393.0,855404.0,15239068.0,-7.61,19.55,1.36
2021,10,55015764.0,54726354.0,289410.0,12185061.0,-14.83,18.13,0.53
2021,11,57961625.0,57447918.0,513707.0,12471729.0,-1.96,17.71,0.89
2021,12,69991021.0,68690022.0,1300999.0,10981285.0,-4.64,13.56,1.86
2022,1,50185948.0,49022653.0,1163295.0,8769640.0,-0.06,14.87,2.32
2022,2,51079140.0,50436814.0,642326.0,10896253.0,-1.35,17.58,1.26
2022,3,67166243.0,65920833.0,1245410.0,15373301.0,-4.53,18.63,1.85
2022,4,52012312.0,51296885.0,715427.0,11398390.0,-10.41,17.98,1.38
2022,5,52659134.0,51328548.0,1330586.0,12310296.0,-8.6,18.95,2.53
2022,6,61543932.0,60129360.0,1414572.0,14013175.0,-9.48,18.55,2.3
2022,7,47491846.0,46503417.0,988429.0,10014876.0,-14.23,17.42,2.08
2022,8,53377572.0,52095318.0,1282254.0,14822873.0,-6.86,21.73,2.4
2022,9,59019416.0,58235107.0,784309.0,16928400.0,-5.88,22.29,1.33
2022,10,54632410.0,54429944.0,202466.0,12618469.0,-0.7,18.76,0.37
2022,11,54312451.0,53349486.0,962965.0,11414280.0,-6.3,17.37,1.77
2022,12,66071458.0,64206614.0,1864844.0,11843521.0,-5.6,15.2,2.82
2023,1,50196136.0,48877375.0,1318762.0,9854477.0,0.02,16.41,2.63
2023,2,48059369.0,47429317.0,630052.0,9227840.0,-5.91,16.11,1.31
2023,3,61444451.0,60205842.0,1238609.0,14055609.0,-8.52,18.62,2.02
2023,4,46690855.0,45628895.0,1061960.0,9854846.0,-10.23,17.43,2.27
2023,5,46761274.0,46216605.0,544669.0,10449848.0,-11.2,18.27,1.16
2023,6,58862044.0,56633282.0,2228763.0,12371679.0,-4.36,17.37,3.79
2023,7,45089457.0,43657945.0,1431512.0,9756980.0,-5.06,17.79,3.17
2023,8,50703958.0,49869972.0,833985.0,15801596.0,-5.01,23.76,1.64
2023,9,55448726.0,54007444.0,1441282.0,12590193.0,-6.05,18.5,2.6
2023,10,51264019.0,49600923.0,1663095.0,13569840.0,-6.17,20.93,3.24
2023,11,52569677.0,51297998.0,1271679.0,12890983.0,-3.21,19.69,2.42
2023,12,62980771.0,60604008.0,2376762.0,12956813.0,-4.68,17.06,3.77
2024,1,48330671.0,46237346.0,2093325.0,12634420.0,-3.72,20.72,4.33
2024,2,47373117.0,45481995.0,1891122.0,13335812.0,-1.43,21.97,3.99
2024,3,52831096.0,51001176.0,1829920.0,12733898.0,-14.02,19.42,3.46
2024,4,45781573.0,43600824.0,2180749.0,12272941.0,-1.95,21.14,4.76
